English,Japanese,Industry,TSE,Exchange,Source
Geechs Inc.,,Employment/Training Services,7060,XTKS,1WSJ
General Oyster Inc.,,Restaurants,3224,XTKS,1WSJ
Generation Pass Co. Ltd.,,Mixed Retailing,3195,XTKS,1WSJ
Geniee Inc.,,Advertising/Marketing/Public Relations,6562,XTKS,1WSJ
Genki Sushi Co. Ltd.,,Restaurants,9828,XTKS,1WSJ
Genky DrugStores Co. Ltd.,,Drug Retail,9267,XTKS,1WSJ
Geo Holdings Corp.,,Specialty Retail,2681,XTKS,1WSJ
Geolocation Technology Inc.,,Internet/Online,4018,XFKA,1WSJ
Geostr Corp.,,Building Materials/Products,5282,XTKS,1WSJ
GiG Works Inc.,,Computer Services,2375,XTKS,1WSJ
Giftee Inc.,,Consumer Services,4449,XTKS,1WSJ
Gifu Landscape Architect Co. Ltd.,,General Services,1438,XNGO,1WSJ
Giga Prize Co. Ltd.,,Internet/Online,3830,XNGO,1WSJ
Giken Holdings Co. Ltd.,,Construction,1443,XTKS,1WSJ
Giken Ltd.,,Mobile Machinery,6289,XTKS,1WSJ
Global Communication Planning Co. Ltd.,,Software,4073,XTKS,1WSJ
Global Kids Co. Corp.,,Consumer Services,6189,XTKS,1WSJ
Global Link Management Inc.,,Real Estate Developers,3486,XTKS,1WSJ
Global Ltd.,,Real Estate Developers,3271,XTKS,1WSJ
Global One Real Estate Investment Corp.,,Industrial/Office REITs,8958,XTKS,1WSJ
Global Security Experts Inc.,,Software,4417,XTKS,1WSJ
Global-Dining Inc.,,Restaurants,7625,XTKS,1WSJ
Globalway Inc.,,Employment/Training Services,3936,XTKS,1WSJ
Globeride,グローブライド株式会社,,7990,,2WIKI
Glosel Co. Ltd.,,Semiconductors,9995,XTKS,1WSJ
Godo Steel Ltd.,,Iron/Steel,5410,XTKS,1WSJ
Goldcrest Co. Ltd.,,Real Estate Developers,8871,XTKS,1WSJ
Goldwin Inc.,,Clothing,8111,XTKS,1WSJ
Golf Digest Online Inc.,,Specialty Retail,3319,XTKS,1WSJ
Golf Do Co. Ltd.,,Specialty Retail,3032,XNGO,1WSJ
Goo Chemical Co. Ltd.,,Chemicals,4962,XTKS,1WSJ
Good Com Asset Co. Ltd.,,Real Estate Developers,3475,XTKS,1WSJ
Gooddays Holdings Inc.,,Real Estate Developers,4437,XTKS,1WSJ
Goodpatch Inc.,,Computer Services,7351,XTKS,1WSJ
Goodspeed Co. Ltd.,,Specialty Retail,7676,XTKS,1WSJ
Gourmet Kineya Co. Ltd.,,Restaurants,9850,XTKS,1WSJ
Grace Technology Inc.,,Publishing,6541,XTKS,1WSJ
Grandes Inc.,,Real Estate Developers,3261,XTKS,1WSJ
Grandy House Corp.,,Real Estate Developers,8999,XTKS,1WSJ
Gree Inc.,,Toys & Games,3632,XTKS,1WSJ
Green Cross Co. Ltd.,,Wholesalers,7533,XFKA,1WSJ
Green Earth Institute Co. Ltd.,,Alternative Fuels,9212,XTKS,1WSJ
Greenland Resort Co. Ltd.,,Recreational Services,9656,XTKS,1WSJ
Greens Co. Ltd.,,Hotels,6547,XTKS,1WSJ
Gun-ei Chemical Industry Co. Ltd.,,Chemicals,4229,XTKS,1WSJ
GungHo Online Entertainment Inc.,,Toys & Games,3765,XTKS,1WSJ
Gunma Bank Ltd.,,Banking,8334,XTKS,1WSJ
Gunosy Inc.,,Publishing,6047,XTKS,1WSJ
Gunze Ltd.,,Clothing,3002,XTKS,1WSJ
Gurunavi Inc.,,Internet/Online,2440,XTKS,1WSJ
H-One Co. Ltd.,,Motor Vehicle Parts,5989,XTKS,1WSJ
H.I.S. Co. Ltd.,,Tourism,9603,XTKS,1WSJ
H.U. Group Holdings Inc.,,Healthcare Provision,4544,XTKS,1WSJ
H2O Retailing,エイチ・ツー・オー リテイリング株式会社,,8242,,2WIKI
HEROZ Inc.,,Toys & Games,4382,XTKS,1WSJ
HI-LEX,株式会社ハイレックスコーポレーション,,7279,,2WIKI
HIP Corp.,,Technical Services,2136,XJAS,1WSJ
HKS,株式会社エッチ・ケー・エス,,7219,,2WIKI
HPC Systems Inc.,,Computer Services,6597,XTKS,1WSJ
Hachijuni Bank Ltd.,,Banking,8359,XTKS,1WSJ
Hagihara Industries Inc.,,Clothing,7856,XTKS,1WSJ
Hagiwara Electric Holdings Co. Ltd.,,Industrial Electronics,7467,XTKS,1WSJ
Hagoromo Foods Corp.,,Food Products,2831,XTKS,1WSJ
Hakudo Co. Ltd.,,Non-Ferrous Metals,7637,XTKS,1WSJ
Hakuhodo DY Holdings Inc.,,Advertising/Marketing/Public Relations,2433,XTKS,1WSJ
Hakuten Corp.,,Advertising/Marketing/Public Relations,2173,XJAS,1WSJ
Hakuto Co. Ltd.,,Precision Products,7433,XTKS,1WSJ
Hakuyosha Co. Ltd.,,General Services,9731,XTKS,1WSJ
Halows Co. Ltd.,,Food Retail,2742,XTKS,1WSJ
Hamai Co. Ltd.,,Industrial Machinery,6131,XTKS,1WSJ
Hamakyorex Co. Ltd.,,Transportation Services,9037,XTKS,1WSJ
Hamamatsu Photonics,浜松ホトニクス株式会社,,6965,,2WIKI
Hamee Corp.,,Internet/Online,3134,XTKS,1WSJ
Hanatour Japan Co. Ltd.,,Tourism,6561,XTKS,1WSJ
Hankyu Hanshin Holdings,阪急阪神ホールディングス株式会社,,9042,,2WIKI
Hankyu Hanshin REIT Inc.,,Diversified REITs,8977,XTKS,1WSJ
Hanshin Diesel Works Ltd.,,Industrial Machinery,6018,XTKS,1WSJ
Hanwa Co. Ltd.,,Wholesalers,8078,XTKS,1WSJ
Happinet Corp.,,Toys & Games,7552,XTKS,1WSJ
Harada Industry Co. Ltd.,,Motor Vehicle Parts,6904,XTKS,1WSJ
Hard Off Corp. Co. Ltd.,,Specialty Retail,2674,XTKS,1WSJ
Harima Chemicals Group Inc.,,Chemicals,4410,XTKS,1WSJ
Harima-Kyowa Co. Ltd.,,Wholesalers,7444,XTKS,1WSJ
Haruyama Holdings Inc.,,Clothing Retail,7416,XTKS,1WSJ
Hasegawa Co. Ltd.,,Specialty Retail,8230,XTKS,1WSJ
Haseko,株式会社長谷工コーポレーション,,1808,,2WIKI
Hashimoto Sogyo Holdings Co. Ltd.,,Wholesalers,7570,XTKS,1WSJ
Hatena Co. Ltd.,,Internet/Online,3930,XTKS,1WSJ
Hayashikane Sangyo Co. Ltd.,,Food Products,2286,XTKS,1WSJ
Hazama Ando,株式会社安藤・間,,1719,,2WIKI
Headwaters Co. Ltd.,,Computer Services,4011,XTKS,1WSJ
Healios K.K.,,Biotechnology,4593,XTKS,1WSJ
Healthcare & Medical Investment Corp.,,Healthcare REITs,3455,XTKS,1WSJ
Heiwa Corp.,,Gambling Industries,6412,XTKS,1WSJ
Heiwa Paper Co. Ltd.,,Wholesalers,9929,XTKS,1WSJ
Heiwa Real Estate Co. Ltd.,,Real Estate Developers,8803,XTKS,1WSJ
Heiwa Real Estate REIT Inc.,,Residential REITs,8966,XTKS,1WSJ
Heiwado Co. Ltd.,,Food Retail,8276,XTKS,1WSJ
Hennge KK,,Software,4475,XTKS,1WSJ
Hibino Corp.,,Audio/Video Equipment,2469,XJAS,1WSJ
Hibiya Engineering Ltd.,,Construction,1982,XTKS,1WSJ
Hiday Hidaka Corp.,,Restaurants,7611,XTKS,1WSJ
Higashi Twenty One Co. Ltd.,,Diversified Holding Companies,9029,XTKS,1WSJ
Higashimaru Co. Ltd.,,Food Products,2058,XFKA,1WSJ
Hikari Heights-VARUS Co. Ltd.,,Healthcare Provision,2137,XSAP,1WSJ
Hikari Tsushin Inc.,,Wireless Telecommunications Services,9435,XTKS,1WSJ
Himacs Ltd.,,Software,4299,XTKS,1WSJ
Himaraya Co. Ltd.,,Specialty Retail,7514,XTKS,1WSJ
Hino Motors Ltd.,,Commercial Vehicles,7205,XTKS,1WSJ
Hinokiya Group Co. Ltd.,,Residential Building Construction,1413,XTKS,1WSJ
Hioki EE Corp.,,Precision Products,6866,XTKS,1WSJ
Hirakawa Hewtech Corp.,,Industrial Electronics,5821,XTKS,1WSJ
Hiraki Co. Ltd.,,Clothing Retail,3059,XTKS,1WSJ
Hiramatsu Inc.,,Restaurants,2764,XTKS,1WSJ
Hirano Tecseed Co. Ltd.,,Industrial Machinery,6245,XTKS,1WSJ
Hirata Corp.,,Technical Services,6258,XTKS,1WSJ
Hirogin Holdings Inc.,,Banking,7337,XTKS,1WSJ
Hirose Electric,ヒロセ電機株式会社,,6806,,2WIKI
Hiroshima Electric Railway Co. Ltd.,,Railroads,9033,XTKS,1WSJ
Hiroshima Gas Co. Ltd.,,Gas Utilities,9535,XTKS,1WSJ
Hisaka Works Ltd.,,Industrial Machinery,6247,XTKS,1WSJ
Hisamitsu Pharmaceutical,久光製薬株式会社,,4530,,2WIKI
Hitachi,株式会社日立製作所,,6501,,2WIKI
Hitachi Construction Machinery Co. Ltd.,,Mobile Machinery,6305,XTKS,1WSJ
Hitachi Metals Ltd.,,Iron/Steel,5486,XTKS,1WSJ
Hitachi Transport System Ltd.,,Trucking,9086,XTKS,1WSJ
Hitachi Zosen Corp.,,Industrial Electronics,7004,XTKS,1WSJ
Hito-Communications Holdings Inc.,,Employment/Training Services,4433,XTKS,1WSJ
Hochiki Corp.,,Industrial Electronics,6745,XTKS,1WSJ
Hodogaya Chemical Co. Ltd.,,Chemicals,4112,XTKS,1WSJ
Hogy Medical Co. Ltd.,,Medical Equipment/Supplies,3593,XTKS,1WSJ
Hohsui Corp.,,Food Retail,1352,XTKS,1WSJ
Hokkai Electrical Construction Co. Inc.,,Construction,1832,XSAP,1WSJ
Hokkaido Chuo Bus Co. Ltd.,,Tourism,9085,XSAP,1WSJ
Hokkaido Coca-Cola Bottling Co. Ltd.,,Non-Alcoholic Beverages/Drinks,2573,XTKS,1WSJ
Hokkaido Electric Power Co. Inc.,,Electric Utilities,9509,XTKS,1WSJ
Hokkaido Gas Co. Ltd.,,Gas Utilities,9534,XTKS,1WSJ
Hokkan Holdings Ltd.,,Containers/Packaging,5902,XTKS,1WSJ
Hokko Chemical Industry Co. Ltd.,,Chemicals,4992,XTKS,1WSJ
Hokkoku Bank,株式会社北國銀行,,8363,,2WIKI
Hokkoku Financial Holdings Inc.,,Banking,7381,XTKS,1WSJ
Hokuetsu Corp.,,Paper/Pulp,3865,XTKS,1WSJ
Hokuetsu Industries Co. Ltd.,,Industrial Machinery,6364,XTKS,1WSJ
Hokuetsu Metal Co. Ltd.,,Iron/Steel,5446,XTKS,1WSJ
Hokuhoku Financial Group Inc.,,Banking,8377,XTKS,1WSJ
Hokuriku Electric Industry Co. Ltd.,,Industrial Electronics,6989,XTKS,1WSJ
Hokuriku Electric Power Co.,,Electric Utilities,9505,XTKS,1WSJ
Hokuriku Electrical Construction Co. Ltd.,,Construction,1930,XTKS,1WSJ
Hokuriku Gas Co. Ltd.,,Gas Utilities,9537,XTKS,1WSJ
Hokuryo Co. Ltd.,,Farming,1384,XTKS,1WSJ
Hokushin Co. Ltd.,,Building Materials/Products,7897,XTKS,1WSJ
Hokuto Corp.,,Farming,1379,XTKS,1WSJ
Hokuyaku Takeyama Holdings Inc.,,Pharmaceuticals,3055,XSAP,1WSJ
Honda,本田技研工業株式会社,,7267,,2WIKI
Honda Tsushin Kogyo Co. Ltd.,,Audio/Video Equipment,6826,XTKS,1WSJ
Honeys Holdings Co. Ltd.,,Clothing,2792,XTKS,1WSJ
Honyaku Center Inc.,,Diversified Business Services,2483,XJAS,1WSJ
Hoosiers Holdings,,Real Estate Developers,3284,XTKS,1WSJ
Hope Inc.,,Advertising/Marketing/Public Relations,6195,XTKS,1WSJ
Horiba,株式会社堀場製作所,,6856,,2WIKI
Horiifoodservice Co. Ltd.,,Restaurants,3077,XJAS,1WSJ
Horipuro,株式会社ホリプロ,,9667,,2WIKI
Hoshino Resorts REIT Inc.,,Hotel/Lodging REITs,3287,XTKS,1WSJ
Hoshizaki Corp.,,Industrial Machinery,6465,XTKS,1WSJ
Hosiden,ホシデン株式会社,,6804,,2WIKI
Hosokawa Micron Corp.,,Industrial Machinery,6277,XTKS,1WSJ
HotLand Co. Ltd.,,Restaurants,3196,XTKS,1WSJ
Hotto Link Inc.,,Internet/Online,3680,XTKS,1WSJ
House Foods,ハウス食品グループ本社株式会社,,2810,,2WIKI
House of Rose Co. Ltd.,,Personal Care Products/Appliances,7506,XTKS,1WSJ
Housecom Corp.,,Real Estate Developers,3275,XTKS,1WSJ
Housefreedom Co. Ltd.,,Real Estate Developers,8996,XFKA,1WSJ
Howa Bank Ltd.,,Banking,8559,XFKA,1WSJ
Howa Machinery,豊和工業株式会社,,6203,,2WIKI
Howtelevision Inc.,,Employment/Training Services,7064,XTKS,1WSJ
Hoya Corp.,,Precision Products,7741,XTKS,1WSJ
Hub Co. Ltd.,,Restaurants,3030,XTKS,1WSJ
Hulic Co. Ltd.,,Real Estate Developers,3003,XTKS,1WSJ
Hulic REIT Inc.,,Industrial/Office REITs,3295,XTKS,1WSJ
Human Associates Holdings Inc.,,Employment/Training Services,6575,XTKS,1WSJ
Human Creation Holdings Inc.,,Employment/Training Services,7361,XTKS,1WSJ
Human Metabolome Technologies Inc.,,Biotechnology,6090,XTKS,1WSJ
Hurxley Corp.,,Restaurants,7561,XTKS,1WSJ
HyAS & Co. Inc.,,Real Estate Developers,6192,XTKS,1WSJ
Hyakugo Bank Ltd.,,Banking,8368,XTKS,1WSJ
Hyakujushi Bank Ltd.,,Banking,8386,XTKS,1WSJ
Hybrid Technologies Co. Ltd.,,Software,4260,XTKS,1WSJ
Hyoki Kaiun Kaisha Ltd.,,Water Transport/Shipping,9362,XTKS,1WSJ
Hyper Inc.,,Computers/Consumer Electronics,3054,XTKS,1WSJ
Hyuga Primary Care Co. Ltd.,,Drug Retail,7133,XTKS,1WSJ
I'll Inc.,,Computer Services,3854,XTKS,1WSJ
I'rom Group Co. Ltd.,,Healthcare Provision,2372,XTKS,1WSJ
I-Freek Mobile Inc.,,Wireless Telecommunications Services,3845,XJAS,1WSJ
I-Ne Co. Ltd.,,Personal Care Products/Appliances,4933,XTKS,1WSJ
I-Net Corp.,,Computer Services,9600,XTKS,1WSJ
I-O Data Device Inc.,,Computers/Consumer Electronics,6916,XTKS,1WSJ
I-Pex Inc.,,Semiconductors,6640,XTKS,1WSJ
IBJ Inc.,,Diversified Business Services,6071,XTKS,1WSJ
ICOM,アイコム株式会社,,6820,,2WIKI
ID Holdings Corp.,,Computer Services,4709,XTKS,1WSJ
IDEA Consultants Inc.,,Environment/Waste Management,9768,XTKS,1WSJ
IDEC Corp.,,Industrial Electronics,6652,XTKS,1WSJ
IDOM Inc.,,Specialty Retail,7599,XTKS,1WSJ
IFIS Japan Ltd.,,Computer Services,7833,XTKS,1WSJ
IG Port Inc.,,Motion Picture/Sound Recording,3791,XJAS,1WSJ
IHI Corp.,,Diversified Holding Companies,7013,XTKS,1WSJ
IID Inc.,,Advertising/Marketing/Public Relations,6038,XTKS,1WSJ
IJTT Co. Ltd.,,Motor Vehicle Parts,7315,XTKS,1WSJ
IK Co. Ltd.,,Mixed Retailing,2722,XTKS,1WSJ
IKK Holdings Inc.,,Consumer Services,2198,XTKS,1WSJ
INCLUSIVE Inc.,,Advertising/Marketing/Public Relations,7078,XTKS,1WSJ
INFRONEER Holdings Inc.,,Construction,5076,XTKS,1WSJ
INV Inc.,,Securities,7338,XJAS,1WSJ
IPS Inc.,,Wired Telecommunications Services,4390,XTKS,1WSJ
IR Japan Holdings Ltd.,,Diversified Business Services,6035,XTKS,1WSJ
IRRC Corp.,,Insurance Brokering,7325,XTKS,1WSJ
ISB Corp.,,Software,9702,XTKS,1WSJ
ISE Chemicals Corp.,,Chemicals,4107,XTKS,1WSJ
ITBook Holdings Co. Ltd.,,Computer Services,1447,XTKS,1WSJ
ITFOR Inc.,,Computer Services,4743,XTKS,1WSJ
ITmedia Inc.,,Publishing,2148,XTKS,1WSJ
Ibiden,イビデン株式会社,,4062,,2WIKI
Ichibanya Co. Ltd.,,Restaurants,7630,XTKS,1WSJ
Ichigo Green Infrastructure Investment Corp.,,Closed-End Funds,9282,XTKS,1WSJ
Ichigo Hotel REIT Investment Corp.,,Hotel/Lodging REITs,3463,XTKS,1WSJ
Ichigo Inc.,,Renewable Energy Generation,2337,XTKS,1WSJ
Ichigo Office REIT Investment Corp.,,Industrial/Office REITs,8975,XTKS,1WSJ
Ichikawa Co. Ltd.,,Clothing,3513,XTKS,1WSJ
Ichiken Co. Ltd.,,Construction,1847,XTKS,1WSJ
Ichikoh Industries Ltd.,,Motor Vehicle Parts,7244,XTKS,1WSJ
Ichikura Co. Ltd.,,Clothing Retail,6186,XTKS,1WSJ
Ichimasa Kamaboko Co. Ltd.,,Food Products,2904,XTKS,1WSJ
Ichinen Holdings Co. Ltd.,,General Services,9619,XTKS,1WSJ
Ichiyoshi Securities Co. Ltd.,,Securities,8624,XTKS,1WSJ
Idemitsu Kosan,出光興産株式会社,,5019,,2WIKI
Ifuji Sangyo Co. Ltd.,,Food Products,2924,XTKS,1WSJ
Iida Group Holdings Co. Ltd.,,Residential Building Construction,3291,XTKS,1WSJ
Iino Kaiun Kaisha Ltd.,,Water Transport/Shipping,9119,XTKS,1WSJ
Ikegami Tsushinki Co. Ltd.,,Audio/Video Equipment,6771,XTKS,1WSJ
Ikka Holdings Co. Ltd.,,Restaurants,7127,XTKS,1WSJ
Ikuyo Co. Ltd.,,Motor Vehicle Parts,7273,XTKS,1WSJ
Image Information Inc.,,Diversified Business Services,3803,XJAS,1WSJ
Imagica Group Inc.,,Motion Picture/Sound Recording,6879,XTKS,1WSJ
Imasen Electric Industrial Co. Ltd.,,Motor Vehicle Parts,7266,XTKS,1WSJ
Immuno-Biological Laboratories Co. Ltd.,,Biotechnology,4570,XJAS,1WSJ
Impact HD Inc.,,Diversified Business Services,6067,XTKS,1WSJ
Imperial Hotel Ltd.,,Hotels,9708,XTKS,1WSJ
Impress Holdings Inc.,,Publishing,9479,XTKS,1WSJ
Imura Envelope Co. Inc.,,Nondurable Household Products,3955,XTKS,1WSJ
Imuraya Group Co. Ltd.,,Food Products,2209,XTKS,1WSJ
Ina Research Inc.,,Pharmaceuticals,2176,XJAS,1WSJ
Inaba Denkisangyo Co. Ltd.,,Industrial Electronics,9934,XTKS,1WSJ
Inaba Seisakusho Co. Ltd.,,Furniture,3421,XTKS,1WSJ
Inabata & Co. Ltd.,,Diversified Holding Companies,8098,XTKS,1WSJ
Inageya Co. Ltd.,,Food Retail,8182,XTKS,1WSJ
Inbound Tech Inc.,,Software,7031,XTKS,1WSJ
Industrial & Infrastructure Fund Investment Corp.,,Industrial/Office REITs,3249,XTKS,1WSJ
Ines Corp.,,Computer Services,9742,XTKS,1WSJ
Infocom Corp.,,Computer Services,4348,XTKS,1WSJ
Infomart Corp.,,Internet/Online,2492,XTKS,1WSJ
Information Planning Co. Ltd.,,Software,3712,XTKS,1WSJ
Information Services International-Dentsu Ltd.,,Computer Services,4812,XTKS,1WSJ
Innotech Corp.,,Semiconductors,9880,XTKS,1WSJ
Innovation Inc.,,Internet/Online,3970,XTKS,1WSJ
Inpex,国際石油開発帝石株式会社,,1605,,2WIKI
Insight Inc.,,Advertising/Marketing/Public Relations,2172,XSAP,1WSJ
Insource Co. Ltd.,,Employment/Training Services,6200,XTKS,1WSJ
Inspec Inc.,,Precision Products,6656,XTKS,1WSJ
Institution for a Global Society Corp.,,Emerging Technologies,4265,XTKS,1WSJ
Intage Holdings Inc.,,Advertising/Marketing/Public Relations,4326,XTKS,1WSJ
Intellex Co. Ltd.,,Real Estate Developers,8940,XTKS,1WSJ
Intelligent Wave Inc.,,Software,4847,XTKS,1WSJ
Inter Action Corp.,,Semiconductors,7725,XTKS,1WSJ
Interfactory Inc.,,Internet/Online,4057,XTKS,1WSJ
International Conglomerate of Distribution for Automobile Holdings Co. Ltd.,,Specialty Retail,3184,XTKS,1WSJ
Internet Infinity Inc.,,Healthcare Provision,6545,XTKS,1WSJ
Internet Initiative Japan Inc.,,Networking,3774,XTKS,1WSJ
Internetworking & Broadband Consulting Co. Ltd.,,Networking,3920,XTKS,1WSJ
Intertrade Co. Ltd.,,Software,3747,XTKS,1WSJ
Interworks Inc.,,Employment/Training Services,6032,XTKS,1WSJ
Intimate Merger Inc.,,Advertising/Marketing/Public Relations,7072,XTKS,1WSJ
Intrance Co. Ltd.,,Real Estate Developers,3237,XTKS,1WSJ
Inui Global Logistics Co. Ltd.,,Transportation Services,9308,XTKS,1WSJ
Invincible Investment Corp.,,Hotel/Lodging REITs,8963,XTKS,1WSJ
Iriso Electronics Co. Ltd.,,Industrial Electronics,6908,XTKS,1WSJ
Isamu Paint Co. Ltd.,,Building Materials/Products,4624,XTKS,1WSJ
Iseki,井関農機株式会社,,6310,,2WIKI
Isetan,株式会社伊勢丹,,8238,,2WIKI
Isetan Mitsukoshi Holdings Ltd.,,Mixed Retailing,3099,XTKS,1WSJ
Isewan Terminal Service Co. Ltd.,,Transportation Services,9359,XNGO,1WSJ
Ishihara Chemical Co. Ltd.,,Chemicals,4462,XTKS,1WSJ
Ishihara Sangyo Kaisha Ltd.,,Chemicals,4028,XTKS,1WSJ
Ishii Food Co. Ltd.,,Food Products,2894,XTKS,1WSJ
Ishii Hyoki Co. Ltd.,,Precision Products,6336,XTKS,1WSJ
Ishii Iron Works Co. Ltd.,,Oil & Gas Products/Services,6362,XTKS,1WSJ
Ishikawa Seisakusho Ltd.,,Industrial Machinery,6208,XTKS,1WSJ
Ishizuka Glass Co. Ltd.,,Housewares,5204,XTKS,1WSJ
Isolite Insulating Products Co. Ltd.,,Building Materials/Products,5358,XTKS,1WSJ
Isuzu Motors,いすゞ自動車株式会社,,7202,,2WIKI
Ito En Ltd.,,Non-Alcoholic Beverages/Drinks,2593,XTKS,1WSJ
Ito En Ltd. Pfd.,,Non-Alcoholic Beverages/Drinks,25935,XTKS,1WSJ
Ito Yogyo Co. Ltd.,,Building Materials/Products,5287,XTKS,1WSJ
ItoKuro Inc.,,Internet/Online,6049,XTKS,1WSJ
Itochu Advance Logistics Investment Corp.,,Industrial/Office REITs,3493,XTKS,1WSJ
Itochu Corp.,,Wholesalers,8001,XTKS,1WSJ
Itochu Enex Co. Ltd.,,Specialty Retail,8133,XTKS,1WSJ
Itochu Techno-Solutions,伊藤忠テクノソリューションズ株式会社,,4739,,2WIKI
Itochu-Shokuhin Co. Ltd.,,Food Retail,2692,XTKS,1WSJ
Itoham Yonekyu Holdings Inc.,,Food Products,2296,XTKS,1WSJ
Itoki Corp.,,Furniture,7972,XTKS,1WSJ
IwaiCosmo Holdings Inc.,,Securities,8707,XTKS,1WSJ
Iwaki Co. Ltd.,,Industrial Machinery,6237,XTKS,1WSJ
Iwasaki Electric Co. Ltd.,,Industrial Electronics,6924,XTKS,1WSJ
Iwatani Corp.,,Gas Utilities,8088,XTKS,1WSJ
Iwatsu Electric Co. Ltd.,,Networking,6704,XTKS,1WSJ
Iyo Bank Ltd.,,Banking,8385,XTKS,1WSJ
Izumi Co. Ltd.,,Mixed Retailing,8273,XTKS,1WSJ
Izutsuya Co. Ltd.,,Mixed Retailing,8260,XTKS,1WSJ
J Frontier Co. Ltd.,,Drug Retail,2934,XTKS,1WSJ
J-Lease Co. Ltd.,,Finance Companies,7187,XTKS,1WSJ
J-Oil Mills Inc.,,Food Products,2613,XTKS,1WSJ
J-Rex Corp.,,Real Estate Developers,2995,XTKS,1WSJ
J-Stream Inc.,,Internet/Online,4308,XTKS,1WSJ
J. Front Retailing Co. Ltd.,,Mixed Retailing,3086,XTKS,1WSJ
J. Trust Co. Ltd.,,Finance Companies,8508,XTKS,1WSJ
JAC Recruitment Co. Ltd.,,Employment/Training Services,2124,XTKS,1WSJ
JAFCO Group Co. Ltd.,,Investment Advisors,8595,XTKS,1WSJ
JAIC Co. Ltd.,,Employment/Training Services,7073,XTKS,1WSJ
JALUX Inc.,,Transportation Services,2729,XTKS,1WSJ
JB Eleven Co. Ltd.,,Restaurants,3066,XNGO,1WSJ
JBCC Holdings Inc.,,Computers/Consumer Electronics,9889,XTKS,1WSJ
JCU Corp.,,Chemicals,4975,XTKS,1WSJ
JDC Corp.,,Construction,1887,XTKS,1WSJ
JEOL,日本電子株式会社,,6951,,2WIKI
JESCO Holdings Inc.,,Industrial Electronics,1434,XTKS,1WSJ
JFE Container Co. Ltd.,,Containers/Packaging,5907,XTKS,1WSJ
JFE Holdings,ジェイエフイーホールディングス株式会社,,5411,,2WIKI
JFE Systems Inc.,,Computer Services,4832,XTKS,1WSJ
JFLA Holdings Inc.,,Restaurants,3069,XJAS,1WSJ
JGC Corporation,日揮株式会社,,1963,,2WIKI
JINS HOLDINGS Inc.,,Medical Equipment/Supplies,3046,XTKS,1WSJ
JK Holdings Co. Ltd.,,Building Materials/Products,9896,XTKS,1WSJ
JM Holdings Co. Ltd.,,Food Retail,3539,XTKS,1WSJ
JMACS Japan Co. Ltd.,,Industrial Electronics,5817,XTKS,1WSJ
JMC Corp.,,Industrial Products,5704,XTKS,1WSJ
JMDC Inc.,,Software,4483,XTKS,1WSJ
JMS Co. Ltd.,,Medical Equipment/Supplies,7702,XTKS,1WSJ
JNS Holdings Inc.,,Internet/Online,3627,XTKS,1WSJ
JP-Holdings Inc.,,Restaurants,2749,XTKS,1WSJ
JSB Co. Ltd.,,Real Estate Developers,3480,XTKS,1WSJ
JSP Corp.,,Chemicals,7942,XTKS,1WSJ
JSR Corp.,,Chemicals,4185,XTKS,1WSJ
JTEC Corp.,,Industrial Products,3446,XTKS,1WSJ
JTEC Corp.,,Employment/Training Services,2479,XJAS,1WSJ
JTEKT,株式会社ジェイティービー,,6473,,2WIKI
JTOWER Inc.,,Networking,4485,XTKS,1WSJ
JTP Co. Ltd.,,Computer Services,2488,XJAS,1WSJ
JUKI Corporation,JUKI株式会社,,6440,,2WIKI
JUTEC Holdings Corp.,,Home Goods Retail,3157,XTKS,1WSJ
"JVC (Victor Company of Japan, Ltd.)",日本ビクター株式会社,,6792,,2WIKI
JVCKenwood Corp.,,Computers/Consumer Electronics,6632,XTKS,1WSJ
Jaccs Co. Ltd.,,Consumer Finance,8584,XTKS,1WSJ
Jalco Holdings Inc.,,Real Estate Developers,6625,XJAS,1WSJ
Jamco Corp.,,Aerospace Products/Parts,7408,XTKS,1WSJ
Janis Ltd.,,Building Materials/Products,5342,XNGO,1WSJ
Janome,蛇の目ミシン工業株式会社,,6445,,2WIKI
Japan Airlines,株式会社日本航空,,9205,,2WIKI
Japan Airlines Co. Ltd.,,Passenger Airlines,9201,XTKS,1WSJ
Japan Airport Terminal Co. Ltd.,,Transportation Services,9706,XTKS,1WSJ
Japan Animal Referral Medical Center Co. Ltd.,,Healthcare Provision,6039,XTKS,1WSJ
Japan Asia Investment Co. Ltd.,,Investment Advisors,8518,XTKS,1WSJ
Japan Asset Marketing Co. Ltd.,,Real Estate Developers,8922,XTKS,1WSJ
Japan Aviation Electronics Industry Ltd.,,Industrial Electronics,6807,XTKS,1WSJ
Japan Best Rescue System Co. Ltd.,,Diversified Business Services,2453,XTKS,1WSJ
Japan Communications Inc.,,Wireless Telecommunications Services,9424,XTKS,1WSJ
Japan Data Science Consortium Co. Ltd.,,Emerging Technologies,4418,XTKS,1WSJ
Japan Display,株式会社ジャパンディスプレイ,,6740,,2WIKI
Japan Ecosystem Co. Ltd.,,Construction,9249,XTKS,1WSJ
Japan Electronic Materials Corp.,,Semiconductors,6855,XTKS,1WSJ
Japan Elevator Service Holdings Co. Ltd.,,Diversified Business Services,6544,XTKS,1WSJ
Japan Engine Corp.,,Industrial Machinery,6016,XTKS,1WSJ
Japan Excellent Inc.,,Industrial/Office REITs,8987,XTKS,1WSJ
Japan Exchange Group Inc.,,Securities,8697,XTKS,1WSJ
