Name,TSE,Exchange,Industry
CyberStep Inc.,3810,XTKS,Toys & Games
Cybertrust Japan Co. Ltd.,4498,XTKS,Software
Cybozu Inc.,4776,XTKS,Software
CYND Co. Ltd.,4256,XTKS,Internet/Online
D. Western Therapeutics Institute Inc.,4576,XJAS,Pharmaceuticals
Dai Nippon Printing Co. Ltd.,7912,XTKS,Printing
Dai Nippon Toryo Co. Ltd.,4611,XTKS,Building Materials/Products
Daibiru Corp.,8806,XTKS,Real Estate Developers
Daicel Corp.,4202,XTKS,Chemicals
Daido Kogyo Co. Ltd.,6373,XTKS,Industrial Products
Daido Metal Co. Ltd.,7245,XTKS,Industrial Products
Daido Signal Co. Ltd.,6743,XTKS,Industrial Electronics
Daido Steel Co. Ltd.,5471,XTKS,Iron/Steel
Daidoh Ltd.,3205,XTKS,Clothing
Daifuku Co. Ltd.,6383,XTKS,Industrial Machinery
Daihatsu Diesel Mfg. Co. Ltd.,6023,XTKS,Industrial Machinery
Daihen Corp.,6622,XTKS,Industrial Electronics
Daiho Corp.,1822,XTKS,Construction
Dai-Ichi Cutter Kogyo K.K.,1716,XTKS,Construction
Daiichi Jitsugyo Co. Ltd.,8059,XTKS,Wholesalers
Daiichi Kigenso Kagaku-Kogyo Co. Ltd.,4082,XTKS,Chemicals
Daiichi Koutsu Sangyo Co. Ltd.,9035,XFKA,"Passenger Transport, Other"
Dai-ichi Life Holdings Inc.,8750,XTKS,Life Insurance
Daiichi Sankyo Co. Ltd.,4568,XTKS,Pharmaceuticals
Daiichikosho Co. Ltd.,7458,XTKS,Audio/Video Equipment
Daiken Corp.,7905,XTKS,Building Materials/Products
Daiken Medical Co. Ltd.,7775,XTKS,Medical Equipment/Supplies
Daiki Axis Co. Ltd.,4245,XTKS,Industrial Machinery
Daikin Industries Ltd.,6367,XTKS,Building Materials/Products
Daiko Denshi Tsushin Ltd.,8023,XTKS,Software
Daiko Tsusan Co. Ltd.,7673,XTKS,Wholesalers
Daikoku Denki Co. Ltd.,6430,XTKS,Gambling Industries
Daikokutenbussan Co. Ltd.,2791,XTKS,Food Retail
Daikokuya Holdings Co. Ltd.,6993,XTKS,Industrial Electronics
DaikyoNishikawa Corp.,4246,XTKS,Diversified Holding Companies
Daimaru Enawin Co. Ltd.,9818,XTKS,Gas Utilities
Dainichi Co. Ltd.,5951,XTKS,Housewares
Dainichiseika Color & Chemicals Mfg. Co. Ltd.,4116,XTKS,Chemicals
Daio Paper Corp.,3880,XTKS,Paper/Pulp
Daiohs Corp.,4653,XTKS,Diversified Business Services
Dairei Co. Ltd.,2883,XTKS,Building Materials/Products
Daisan Co. Ltd.,4750,XTKS,Mobile Machinery
Daiseki Co. Ltd.,9793,XTKS,Environment/Waste Management
Daiseki Eco. Solution Co. Ltd.,1712,XTKS,Environment/Waste Management
Daishi Hokuetsu Financial Group Inc.,7327,XTKS,Banking
Daishinku Corp.,6962,XTKS,Industrial Electronics
Daisho Co. Ltd.,2816,XTKS,Food Products
Daisue Construction Co. Ltd.,1814,XTKS,Construction
Daisui Co. Ltd.,7538,XTKS,Food Retail
Daisyo Corp.,9979,XTKS,Restaurants
Daito Bank Ltd.,8563,XTKS,Banking
Daito Chemix Corp.,4366,XTKS,Chemicals
Daito Pharmaceutical Co. Ltd.,4577,XTKS,Pharmaceuticals
Daito Trust Construction Co. Ltd.,1878,XTKS,Construction
Daitobo Co. Ltd.,3202,XTKS,Clothing
Daitron Co. Ltd.,7609,XTKS,Industrial Electronics
Daiun Co. Ltd.,9363,XTKS,Transportation Services
Daiwa Co. Ltd.,8247,XTKS,Mixed Retailing
Daiwa Computer Co. Ltd.,3816,XJAS,Software
Daiwa Heavy Industry Co. Ltd.,5610,XTKS,Industrial Products
Daiwa House Industry Co. Ltd.,1925,XTKS,Residential Building Construction
Daiwa House REIT Investment Corp.,8984,XTKS,Residential REITs
Daiwa Industries Ltd.,6459,XTKS,Industrial Machinery
Daiwa Motor Transportation Co. Ltd.,9082,XTKS,"Passenger Transport, Other"
Daiwa Office Investment Corp.,8976,XTKS,Industrial/Office REITs
Daiwa Securities Group Inc.,8601,XTKS,Securities
Daiwa Securities Living Investment Corp.,8986,XTKS,Residential REITs
Daiwabo Holdings Co. Ltd.,3107,XTKS,Diversified Holding Companies
Danto Holdings Corp.,5337,XTKS,Building Materials/Products
Data Applications Co. Ltd.,3848,XJAS,Software
Data Horizon Co. Ltd.,3628,XTKS,Publishing
Datasection Inc.,3905,XTKS,Software
DCM Holdings Co. Ltd.,3050,XTKS,Home Goods Retail
DD Holdings Co. Ltd.,3073,XTKS,Restaurants
DDS Inc.,3782,XTKS,Precision Products
Dear Life Co. Ltd.,3245,XTKS,Real Estate Developers
Decollte Holdings Corp.,7372,XTKS,Consumer Services
Delica Foods Holdings Co. Ltd.,3392,XTKS,Food Retail
Delivery Consulting Inc.,9240,XTKS,Diversified Business Services
Delta-Fly Pharma Inc.,4598,XTKS,Pharmaceuticals
Demae-Can Co. Ltd.,2484,XJAS,Restaurants
DeNA Co. Ltd.,2432,XTKS,Internet/Online
Denka Co. Ltd.,4061,XTKS,Chemicals
Denkyosha Co. Ltd.,8144,XTKS,Wholesalers
Densan Co. Ltd.,3640,XTKS,Software
Densan System Holdings Co. Ltd.,4072,XTKS,Computer Services
Denso Corp.,6902,XTKS,Motor Vehicle Parts
Dentsu Group Inc.,4324,XTKS,Advertising/Marketing/Public Relations
Denyo Co. Ltd.,6517,XTKS,Industrial Electronics
Descente Ltd.,8114,XTKS,Clothing
DesignOne Japan Inc.,6048,XTKS,Publishing
Dexerials Corp.,4980,XTKS,Chemicals
Diamond Electric Holdings Co. Ltd.,6699,XTKS,Industrial Electronics
DIC Corp.,4631,XTKS,Chemicals
Digital Arts Inc.,2326,XTKS,Software
Digital Garage Inc.,4819,XTKS,Advertising/Marketing/Public Relations
Digital Hearts Holdings Co. Ltd.,3676,XTKS,Computer Services
Digital Holdings Inc.,2389,XTKS,Advertising/Marketing/Public Relations
Digital Information Technologies Corp.,3916,XTKS,Software
Digital Media Professionals Inc.,3652,XTKS,Software
Digitalift Inc.,9244,XTKS,Advertising/Marketing/Public Relations
Dijet Industrial Co. Ltd.,6138,XTKS,Industrial Machinery
Di-Nikko Engineering Co. Ltd.,6635,XJAS,Industrial Electronics
Dip Corp.,2379,XTKS,Employment/Training Services
Direct Marketing MIX Inc.,7354,XTKS,Advertising/Marketing/Public Relations
Disco Corp.,6146,XTKS,Precision Products
DKK Co. Ltd.,6706,XTKS,Networking
DKK Toa Corp.,6848,XTKS,Precision Products
DKS Co. Ltd.,4461,XTKS,Chemicals
DLE Inc.,3686,XTKS,Motion Picture/Sound Recording
DMG Mori Co. Ltd.,6141,XTKS,Industrial Machinery
DMW Corp.,6365,XTKS,Industrial Machinery
DN Holdings Co. Ltd.,7377,XTKS,Diversified Holding Companies
DNA Chip Research Inc.,2397,XTKS,Medical Equipment/Supplies
Doshisha Co. Ltd.,7483,XTKS,Wholesalers
Double Standard Inc.,3925,XTKS,Software
Doutor-Nichires Holdings Co. Ltd.,3087,XTKS,Restaurants
Dowa Holdings Co. Ltd.,5714,XTKS,Non-Ferrous Metals
DRAFT Inc.,5070,XTKS,Construction
Dream Incubator Inc.,4310,XTKS,Diversified Business Services
Dream Vision Co. Ltd.,3185,XTKS,Wholesalers
Dreambed Co. Ltd.,7791,XTKS,Furniture
Drecom Co. Ltd.,3793,XTKS,Internet/Online
DTS Corp.,9682,XTKS,Software
Dualtap Co. Ltd.,3469,XTKS,Real Estate Developers
Duskin Co. Ltd.,4665,XTKS,General Services
DVx Inc.,3079,XTKS,Medical Equipment/Supplies
DyDo Group Holdings Inc.,2590,XTKS,Non-Alcoholic Beverages/Drinks
Dynapac Co. Ltd.,3947,XTKS,Containers/Packaging
Dynic Corp.,3551,XTKS,Clothing
Eagle Industry Co. Ltd.,6486,XTKS,Industrial Products
Early Age Co. Ltd.,3248,XTKS,Real Estate Developers
Earth Corp.,4985,XTKS,Chemicals
East Japan Railway Co.,9020,XTKS,Railroads
Eat&Holdings Ltd.,2882,XTKS,Restaurants
Ebara Corp.,6361,XTKS,Industrial Machinery
Ebara Foods Industry Inc.,2819,XTKS,Food Products
Ebara Jitsugyo Co. Ltd.,6328,XTKS,Industrial Machinery
eBASE Co. Ltd.,3835,XTKS,Software
Echo Trading Co. Ltd.,7427,XTKS,Food Retail
Ecomott Inc.,3987,XTKS,Emerging Technologies
Econach Holdings Co. Ltd.,3521,XTKS,Recreational Services
Econos Co. Ltd.,3136,XSAP,Specialty Retail
Eco's Co. Ltd.,7520,XTKS,Mixed Retailing
Edia Co. Ltd.,3935,XTKS,Software
Edion Corp.,2730,XTKS,Home Goods Retail
EduLab Inc.,4427,XTKS,Computer Services
EF-ON Inc.,9514,XTKS,Renewable Energy Generation
e'grand Co. Ltd.,3294,XTKS,Construction
eGuarantee Inc.,8771,XTKS,Finance Companies
E-Guardian Inc.,6050,XTKS,Internet/Online
Ehime Bank Ltd.,8541,XTKS,Banking
Eidai Co. Ltd.,7822,XTKS,Building Materials/Products
Eiken Chemical Co. Ltd.,4549,XTKS,Medical Equipment/Supplies
Eisai Co. Ltd.,4523,XTKS,Pharmaceuticals
Eiwa Corp.,9857,XTKS,Precision Products
EIZO Corp.,6737,XTKS,Computers/Consumer Electronics
EJ Holdings Inc.,2153,XTKS,Construction
Ekitan & Co. Ltd.,3646,XTKS,Publishing
ELAN Corp.,6099,XTKS,Healthcare Provision
Elecom Co. Ltd.,6750,XTKS,Computers/Consumer Electronics
Electric Power Development Co. Ltd.,9513,XTKS,Electric Utilities
Elematec Corp.,2715,XTKS,Wholesalers
Eltes Co. Ltd.,3967,XTKS,Internet/Online
EM Systems Co. Ltd.,4820,XTKS,Computer Services
eMnet Japan Co. Ltd.,7036,XTKS,Advertising/Marketing/Public Relations
EnBio Holdings Inc.,6092,XTKS,Environment/Waste Management
Encourage Technologies Co. Ltd.,3682,XTKS,Software
Endo Lighting Corp.,6932,XTKS,Industrial Electronics
Enechange Ltd.,4169,XTKS,Software
ENEOS Holdings Inc.,5020,XTKS,Major Oil & Gas
Enex Infrastructure Investment Corp.,9286,XTKS,Real Estate Developers
Enigmo Inc.,3665,XTKS,Mixed Retailing
Enish Inc.,3667,XTKS,Software
en-japan Inc.,4849,XTKS,Employment/Training Services
Enjin Co. Ltd.,7370,XTKS,Advertising/Marketing/Public Relations
Enomoto Co. Ltd.,6928,XTKS,Semiconductors
Enplas Corp.,6961,XTKS,Industrial Products
Enshu Ltd.,6218,XTKS,Precision Products
Ensuiko Sugar Refining Co. Ltd.,2112,XTKS,Food Products
Entrust Inc.,7191,XTKS,Non-Life Insurance
Envipro Holdings Inc.,5698,XTKS,Environment/Waste Management
eole Inc.,2334,XTKS,Software
EPCO Co. Ltd.,2311,XTKS,Construction
eREX Co. Ltd.,9517,XTKS,Electric Utilities
ERI Holdings Co. Ltd.,6083,XTKS,Real Estate Developers
Es-Con Japan Ltd.,8892,XTKS,Real Estate Developers
Escon Japan REIT Investment Corp.,2971,XTKS,Retail REITs
Escrit Inc.,2196,XTKS,Consumer Services
Escrow Agent Japan Inc.,6093,XTKS,Real Estate Developers
e-Seikatsu Co. Ltd.,3796,XTKS,Software
Eslead Corp.,8877,XTKS,Real Estate Developers
eSOL Co. Ltd.,4420,XTKS,Software
Espec Corp.,6859,XTKS,Precision Products
ESPOIR Co. Ltd.,3260,XNGO,Real Estate Developers
Estelle Holdings Co. Ltd.,7872,XTKS,Clothing Retail
Estic Corp.,6161,XTKS,Precision Products
E-Supportlink Ltd.,2493,XJAS,Transportation Services
Euglena Co. Ltd.,2931,XTKS,Food Products
ExaWizards Inc.,4259,XTKS,Computer Services
Exedy Corp.,7278,XTKS,Motor Vehicle Parts
Exeo Group Inc.,1951,XTKS,Construction
eXmotion Co. Ltd.,4394,XTKS,Computer Services
Extreme Co. Ltd.,6033,XTKS,Toys & Games
Ezaki Glico Co. Ltd.,2206,XTKS,Food Products
F.C.C. Co. Ltd.,7296,XTKS,Motor Vehicle Parts
Faith Inc.,4295,XTKS,Motion Picture/Sound Recording
FaithNetwork Co. Ltd.,3489,XTKS,Real Estate Developers
Faltec Co. Ltd.,7215,XTKS,Motor Vehicle Parts
FAN Communications Inc.,2461,XTKS,Advertising/Marketing/Public Relations
Fancl Corp.,4921,XTKS,Personal Care Products/Appliances
Fanuc Corp.,6954,XTKS,Precision Products
Fast Fitness Japan Inc.,7092,XTKS,Recreational Services
Fast Retailing Co. Ltd.,9983,XTKS,Clothing Retail
f-code Inc.,9211,XTKS,Internet/Online
FDK Corp.,6955,XTKS,Industrial Electronics
Feed One Co. Ltd.,2060,XTKS,Food Products
Feedforce Group Inc.,7068,XTKS,Advertising/Marketing/Public Relations
Felissimo Corp.,3396,XTKS,Mixed Retailing
Fenwal Controls Of Japan Ltd.,6870,XTKS,Precision Products
FFRI Security Inc.,3692,XTKS,Software
Fibergate Inc.,9450,XTKS,Computer Services
Ficha Inc.,4052,XTKS,Software
FIDEA Holdings Co. Ltd.,8713,XTKS,Banking
Fields Corp.,2767,XTKS,Gambling Industries
Financial Products Group Co. Ltd.,7148,XTKS,Finance Companies
Finatext Holdings Ltd.,4419,XTKS,Computer Services
Findex Inc.,3649,XTKS,Software
Fine Sinter Co. Ltd.,5994,XTKS,Motor Vehicle Parts
FinTech Global Inc.,8789,XTKS,Investment Advisors
First Baking Co. Ltd.,2215,XTKS,Food Products
First Bank of Toyama Ltd.,7184,XTKS,Banking
First Brothers Co. Ltd.,3454,XTKS,Investment Advisors
First Juken Co. Ltd.,8917,XTKS,Real Estate Developers
First-Corp Inc.,1430,XTKS,Construction
Firstlogic Inc.,6037,XTKS,Real Estate Developers
Fisco Ltd.,3807,XJAS,Investment Advisors
Fit Corp.,1436,XTKS,Residential Building Construction
Fixstars Corp.,3687,XTKS,Software
FJ Next Holdings Co. Ltd.,8935,XTKS,Real Estate Developers
FLECT Co. Ltd.,4414,XTKS,Software
Flight Holdings Inc.,3753,XTKS,Computer Services
Focus Systems Corp.,4662,XTKS,Software
Food & Life Cos. Ltd.,3563,XTKS,Restaurants
Forlife Co. Ltd.,3477,XTKS,Real Estate Developers
forStartups Inc.,7089,XTKS,Employment/Training Services
Forum Engineering Inc.,7088,XTKS,Employment/Training Services
Forval Corp.,8275,XTKS,Networking
Forval RealStraight Inc.,9423,XJAS,Networking
Forval Telecom Inc.,9445,XTKS,Wired Telecommunications Services
Foster Electric Co. Ltd.,6794,XTKS,Audio/Video Equipment
Fractale Corp.,3750,XTKS,Real Estate Developers
France Bed Holdings Co. Ltd.,7840,XTKS,Furniture
FreakOut Holdings Inc.,6094,XTKS,Advertising/Marketing/Public Relations
FreeBit Co. Ltd.,3843,XTKS,Internet/Online
freee K.K.,4478,XTKS,Internet/Online
Freesia Macross Corp.,6343,XTKS,Industrial Machinery
Friendly Corp.,8209,XTKS,Restaurants
FRONTEO Inc.,2158,XTKS,Emerging Technologies
Frontier Inc.,4250,XFKA,Wholesalers
Frontier International Inc.,7050,XTKS,Advertising/Marketing/Public Relations
Frontier Management Inc.,7038,XTKS,Diversified Business Services
Frontier Real Estate Investment Corp.,8964,XTKS,Retail REITs
Fruta Fruta Inc.,2586,XTKS,Food Products
F-Tech Inc.,7212,XTKS,Motor Vehicle Parts
Fudo Tetra Corp.,1813,XTKS,Construction
FueTrek Co. Ltd.,2468,XTKS,Software
Fuji Co. Ltd. (8278),8278,XTKS,Food Retail
Fuji Corp.,6134,XTKS,Precision Products
Fuji Corp. (7605),7605,XTKS,Specialty Retail
Fuji Corp. Ltd. (8860),8860,XTKS,Real Estate Developers
Fuji Die Co. Ltd.,6167,XTKS,Industrial Products
Fuji Electric Co. Ltd.,6504,XTKS,Industrial Electronics
Fuji Electric Industry Co. Ltd.,6654,XTKS,Industrial Electronics
Fuji Furukawa Engineering & Construction Co. Ltd.,1775,XTKS,Construction
Fuji Hensokuki Co. Ltd.,6295,XNGO,Industrial Machinery
Fuji Japan Co. Ltd.,1449,XSAP,Construction
Fuji Kosan Co. Ltd.,5009,XTKS,Gas Utilities
Fuji Kyuko Co. Ltd.,9010,XTKS,Tourism
Fuji Media Holdings Inc.,4676,XTKS,Broadcasting
Fuji Nihon Seito Corp.,2114,XTKS,Food Products
Fuji Oil Co. Ltd.,5017,XTKS,Oil & Gas Products/Services
Fuji Oil Holdings Inc.,2607,XTKS,Food Products
Fuji Oozx Inc.,7299,XTKS,Motor Vehicle Parts
Fuji P.S. Corp.,1848,XTKS,Construction
Fuji Pharma Co. Ltd.,4554,XTKS,Pharmaceuticals
Fuji Seal International Inc.,7864,XTKS,Containers/Packaging
Fuji Seiko Ltd.,6142,XNGO,Industrial Machinery
Fuji Soft Inc.,9749,XTKS,Software
Fuji Soft Service Bureau Inc.,6188,XTKS,Diversified Business Services
Fujibo Holdings Inc.,3104,XTKS,Clothing
Fujicco Co. Ltd.,2908,XTKS,Food Products
Fujicopian Co. Ltd.,7957,XTKS,Computers/Consumer Electronics
FUJIFILM Holdings Corp.,4901,XTKS,Computers/Consumer Electronics
Fujikura Composites Inc.,5121,XTKS,Industrial Products
Fujikura Kasei Co. Ltd.,4620,XTKS,Chemicals
Fujikura Ltd.,5803,XTKS,Industrial Electronics
Fujikyu Holdings Co. Ltd.,7135,XTKS,Specialty Retail
Fujimak Corp.,5965,XTKS,Housewares
Fujimi Inc.,5384,XTKS,Industrial Products
Fujimori Kogyo Co. Ltd.,7917,XTKS,Containers/Packaging
Fujio Food Group Inc.,2752,XTKS,Restaurants
Fujisan Magazine Service Co. Ltd.,3138,XTKS,Specialty Retail
Fujisash Co. Ltd.,5940,XTKS,Building Materials/Products
Fujishoji Co. Ltd.,6257,XJAS,Gambling Industries
Fujita Kanko Inc.,9722,XTKS,Hotels
Fujitec Co. Ltd.,6406,XTKS,Industrial Machinery
Fujitsu General Ltd.,6755,XTKS,Building Materials/Products
Fujitsu Ltd.,6702,XTKS,Computers/Consumer Electronics
Fujix Ltd.,3600,XTKS,Clothing
Fujiya Co. Ltd.,2211,XTKS,Food Products
Fukoku Co. Ltd.,5185,XTKS,Industrial Products
Fukuda Corp.,1899,XTKS,Construction
Fukui Bank Ltd.,8362,XTKS,Banking
Fukui Computer Holdings Inc.,9790,XTKS,Software
Fukuoka Chuo Bank Ltd.,8540,XFKA,Banking
Fukuoka Financial Group Inc.,8354,XTKS,Banking
Fukuoka REIT Corp.,8968,XTKS,Retail REITs
Fukushima Bank Ltd.,8562,XTKS,Banking
Fukushima Galilei Co. Ltd.,6420,XTKS,Building Materials/Products
Fukushima Printing Co. Ltd.,7870,XNGO,Printing
Fukutome Meat Packers Ltd.,2291,XTKS,Food Products
Fukuvi Chemical Industry Co. Ltd.,7871,XTKS,Building Materials/Products
Fukuyama Transporting Co. Ltd.,9075,XTKS,Trucking
Full Speed Inc.,2159,XTKS,Advertising/Marketing/Public Relations
Fullcast Holdings Co. Ltd.,4848,XTKS,Employment/Training Services
Fulltech Co. Ltd.,6546,XTKS,Building Materials/Products
Fumakilla Ltd.,4998,XTKS,Chemicals
Funai Soken Holdings Inc.,9757,XTKS,Diversified Business Services
Fundely Co. Ltd.,3137,XTKS,Restaurants
Funlife Holdings Co. Ltd.,1418,XJAS,Diversified Business Services
FunPep Co. Ltd.,4881,XTKS,Pharmaceuticals
Fureasu Co. Ltd.,7062,XTKS,Healthcare Provision
Furubayashi Shiko Co. Ltd.,3944,XTKS,Containers/Packaging
Furukawa Battery Co. Ltd.,6937,XTKS,Industrial Electronics
Furukawa Co. Ltd.,5715,XTKS,Mobile Machinery
Furukawa Electric Co. Ltd.,5801,XTKS,Industrial Electronics
Furuno Electric Co. Ltd.,6814,XTKS,Networking
Furuya Metal Co. Ltd.,7826,XJAS,Industrial Products
Furyu Corp.,6238,XTKS,Software
Fushiki Kairiku Unso Co. Ltd.,9361,XTKS,Transportation Services
Fusion Co. Ltd.,3977,XSAP,Advertising/Marketing/Public Relations
Fuso Chemical Co. Ltd.,4368,XTKS,Chemicals
Fuso Dentsu Co. Ltd.,7505,XTKS,Networking
Fuso Pharmaceutical Industries Ltd.,4538,XTKS,Pharmaceuticals
Futaba Corp.,6986,XTKS,Industrial Electronics
Futaba Industrial Co. Ltd.,7241,XTKS,Motor Vehicle Parts
Future Corp.,4722,XTKS,Computer Services
Future Innovation Group Inc.,4392,XTKS,Software
Future Link Network Co. Ltd.,9241,XTKS,Wired Telecommunications Services
Fuva Brain Ltd.,3927,XTKS,Software
Fuyo General Lease Co. Ltd.,8424,XTKS,General Services
G Three Holdings Corp.,3647,XTKS,Software
G-7 Holdings Inc.,7508,XTKS,Diversified Holding Companies
GA Technologies Co. Ltd.,3491,XTKS,Real Estate Developers
GaiaX Co. Ltd.,3775,XNGO,Internet/Online
Gakken Holdings Co. Ltd.,9470,XTKS,Publishing
Gakkyusha Co. Ltd.,9769,XTKS,Consumer Services
Gakujo Co. Ltd.,2301,XTKS,Employment/Training Services
Gamecard Joyco Holdings Inc.,6249,XJAS,Gambling Industries
GameWith Inc.,6552,XTKS,Toys & Games
Gecoss Corp.,9991,XTKS,General Services
Geechs Inc.,7060,XTKS,Employment/Training Services
General Oyster Inc.,3224,XTKS,Restaurants
Generation Pass Co. Ltd.,3195,XTKS,Mixed Retailing
Geniee Inc.,6562,XTKS,Advertising/Marketing/Public Relations
Genki Sushi Co. Ltd.,9828,XTKS,Restaurants
Genky DrugStores Co. Ltd.,9267,XTKS,Drug Retail
Geo Holdings Corp.,2681,XTKS,Specialty Retail
Geolocation Technology Inc.,4018,XFKA,Internet/Online
Geostr Corp.,5282,XTKS,Building Materials/Products
GFA Co. Ltd.,8783,XJAS,Real Estate Developers
G-Factory Co. Ltd.,3474,XTKS,Diversified Business Services
GFoot Co. Ltd.,2686,XTKS,Clothing Retail
GIFT Inc.,9279,XTKS,Restaurants
Giftee Inc.,4449,XTKS,Consumer Services
Gifu Landscape Architect Co. Ltd.,1438,XNGO,General Services
GiG Works Inc.,2375,XTKS,Computer Services
Giga Prize Co. Ltd.,3830,XNGO,Internet/Online
Giken Holdings Co. Ltd.,1443,XTKS,Construction
Giken Ltd.,6289,XTKS,Mobile Machinery
GL Sciences Inc.,7705,XTKS,Precision Products
Global Communication Planning Co. Ltd.,4073,XTKS,Software
Global Kids Co. Corp.,6189,XTKS,Consumer Services
Global Link Management Inc.,3486,XTKS,Real Estate Developers
Global Ltd.,3271,XTKS,Real Estate Developers
Global One Real Estate Investment Corp.,8958,XTKS,Industrial/Office REITs
Global Security Experts Inc.,4417,XTKS,Software
Global-Dining Inc.,7625,XTKS,Restaurants
Globalway Inc.,3936,XTKS,Employment/Training Services
Globeride Inc.,7990,XTKS,Sports Goods
Glosel Co. Ltd.,9995,XTKS,Semiconductors
GLP J-REIT,3281,XTKS,Industrial/Office REITs
GMB Corp.,7214,XTKS,Motor Vehicle Parts
GMO Financial Gate Inc.,4051,XTKS,Computers/Consumer Electronics
GMO Financial Holdings Inc.,7177,XJAS,Securities
GMO GlobalSign Holdings K.K.,3788,XTKS,Internet/Online
GMO Internet Inc.,9449,XTKS,Internet/Online
GMO Media Inc.,6180,XTKS,Publishing
GMO Payment Gateway Inc.,3769,XTKS,Consumer Finance
GMO Pepabo Inc.,3633,XTKS,Internet/Online
GMO Research Inc.,3695,XTKS,Advertising/Marketing/Public Relations
GMO Tech Inc.,6026,XTKS,Advertising/Marketing/Public Relations
GNI Group Ltd.,2160,XTKS,Biotechnology
Godo Steel Ltd.,5410,XTKS,Iron/Steel
Goldcrest Co. Ltd.,8871,XTKS,Real Estate Developers
Goldwin Inc.,8111,XTKS,Clothing
Golf Digest Online Inc.,3319,XTKS,Specialty Retail
Golf Do Co. Ltd.,3032,XNGO,Specialty Retail
Goo Chemical Co. Ltd.,4962,XTKS,Chemicals
Good Com Asset Co. Ltd.,3475,XTKS,Real Estate Developers
Gooddays Holdings Inc.,4437,XTKS,Real Estate Developers
Goodpatch Inc.,7351,XTKS,Computer Services
Goodspeed Co. Ltd.,7676,XTKS,Specialty Retail
Gourmet Kineya Co. Ltd.,9850,XTKS,Restaurants
Grace Technology Inc.,6541,XTKS,Publishing
Grandes Inc.,3261,XTKS,Real Estate Developers
Grandy House Corp.,8999,XTKS,Real Estate Developers
GRCS Inc.,9250,XTKS,Software
Gree Inc.,3632,XTKS,Toys & Games
Green Cross Co. Ltd.,7533,XFKA,Wholesalers
Green Earth Institute Co. Ltd.,9212,XTKS,Alternative Fuels
Greenland Resort Co. Ltd.,9656,XTKS,Recreational Services
Greens Co. Ltd.,6547,XTKS,Hotels
gremz Inc.,3150,XTKS,Diversified Business Services
GS Yuasa Corp.,6674,XTKS,Industrial Electronics
GSI Creos Corp.,8101,XTKS,Clothing
G-Tekt Corp.,5970,XTKS,Motor Vehicle Parts
gumi Inc.,3903,XTKS,Toys & Games
Gun-ei Chemical Industry Co. Ltd.,4229,XTKS,Chemicals
GungHo Online Entertainment Inc.,3765,XTKS,Toys & Games
Gunma Bank Ltd.,8334,XTKS,Banking
Gunosy Inc.,6047,XTKS,Publishing
Gunze Ltd.,3002,XTKS,Clothing
Gurunavi Inc.,2440,XTKS,Internet/Online
H.I.S. Co. Ltd.,9603,XTKS,Tourism
H.U. Group Holdings Inc.,4544,XTKS,Healthcare Provision
H2O Retailing Corp.,8242,XTKS,Mixed Retailing
Hachijuni Bank Ltd.,8359,XTKS,Banking
Hagihara Industries Inc.,7856,XTKS,Clothing
Hagiwara Electric Holdings Co. Ltd.,7467,XTKS,Industrial Electronics
Hagoromo Foods Corp.,2831,XTKS,Food Products
Hakudo Co. Ltd.,7637,XTKS,Non-Ferrous Metals
Hakuhodo DY Holdings Inc.,2433,XTKS,Advertising/Marketing/Public Relations
Hakuten Corp.,2173,XJAS,Advertising/Marketing/Public Relations
Hakuto Co. Ltd.,7433,XTKS,Precision Products
Hakuyosha Co. Ltd.,9731,XTKS,General Services
Halows Co. Ltd.,2742,XTKS,Food Retail
Hamai Co. Ltd.,6131,XTKS,Industrial Machinery
Hamakyorex Co. Ltd.,9037,XTKS,Transportation Services
Hamamatsu Photonics K.K.,6965,XTKS,Precision Products
Hamee Corp.,3134,XTKS,Internet/Online
Hanatour Japan Co. Ltd.,6561,XTKS,Tourism
Hankyu Hanshin Holdings Inc.,9042,XTKS,Railroads
Hankyu Hanshin REIT Inc.,8977,XTKS,Diversified REITs
Hanshin Diesel Works Ltd.,6018,XTKS,Industrial Machinery
Hanwa Co. Ltd.,8078,XTKS,Wholesalers
Happinet Corp.,7552,XTKS,Toys & Games
Harada Industry Co. Ltd.,6904,XTKS,Motor Vehicle Parts
Hard Off Corp. Co. Ltd.,2674,XTKS,Specialty Retail
Harima Chemicals Group Inc.,4410,XTKS,Chemicals
Harima-Kyowa Co. Ltd.,7444,XTKS,Wholesalers
Haruyama Holdings Inc.,7416,XTKS,Clothing Retail
Hasegawa Co. Ltd.,8230,XTKS,Specialty Retail
Haseko Corp.,1808,XTKS,Residential Building Construction
Hashimoto Sogyo Holdings Co. Ltd.,7570,XTKS,Wholesalers
Hatena Co. Ltd.,3930,XTKS,Internet/Online
Hayashikane Sangyo Co. Ltd.,2286,XTKS,Food Products
Hazama Ando Corp.,1719,XTKS,Construction
Headwaters Co. Ltd.,4011,XTKS,Computer Services
Healios K.K.,4593,XTKS,Biotechnology
Healthcare & Medical Investment Corp.,3455,XTKS,Healthcare REITs
Heiwa Corp.,6412,XTKS,Gambling Industries
Heiwa Paper Co. Ltd.,9929,XTKS,Wholesalers
Heiwa Real Estate Co. Ltd.,8803,XTKS,Real Estate Developers
Heiwa Real Estate REIT Inc.,8966,XTKS,Residential REITs
Heiwado Co. Ltd.,8276,XTKS,Food Retail
Hennge KK,4475,XTKS,Software
